slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,slope_9,slope_10,slope_11,slope_12,slope_13,slope_14,slope_15,slope_16,slope_17,slope_18,slope_19,slope_20,slope_21,slope_22,slope_23,slope_24,slope_25,slope_26,slope_27,slope_28,slope_29,state
-2.12605966116548,-2.06184729061932,-2.23043259860482,-2.2994211320618,-2.32714498514323,-1.62717183621105,-1.6872650929965,-2.06609007599113,-2.09021561375118,-2.12782618747102,-2.05850601877362,-2.07597873700844,-2.41038293434831,-2.29141455854644,-2.7291278566333,-2.09592207501967,-2.41934061370993,-2.90460506746973,-3.87356339325486,-3.73401243922045,-3.68941274787386,-2.96747116817271,-2.41741882816451,-2.10670615541664,-3.46086306543622,-3.63876678265362,-3.20972160344768,-2.82851120443187,-2.50503975254688,1
-2.14383275060655,-2.14880481579368,-2.28308017817536,-2.30289176329255,-2.35416452119703,-1.72078139068488,-1.82169642548205,-2.06404885868538,-2.00214911432598,-2.09529223085361,-2.13852574147854,-2.14176308616811,-2.50652721341031,-2.70716957453143,-2.94140274192027,-2.31867586169443,-2.34590600705185,-2.92102990761945,-4.03184109739102,-4.05733707999295,-3.77792386118393,-3.56362510616367,-2.59537869625307,-2.70511441521716,-2.93990222071033,-3.43122572286397,-3.97110294443991,-3.1293497515258,-2.85468055273428,0
-2.03422337705597,-2.25082992058337,-2.3056765853411,-2.34800987491147,-2.44947776043402,-1.76192604020929,-1.97178846881354,-2.13063993602029,-2.00631475198818,-2.07925553735,-1.94631794392444,-2.32913893667113,-2.46791359236553,-2.54961081302382,-2.7881879512059,-2.6935320713859,-3.20689851651548,-3.3218927745323,-3.89365045837145,-4.12508504657431,-3.83401174557092,-3.11681458838661,-2.60271002562502,-2.7746213030995,-3.61133376945831,-4.07440296962225,-4.19329325083245,-3.13562087430605,-2.85379500513268,1
-2.16217087130536,-2.22282239501741,-2.26652855443832,-2.22044827425843,-2.24254362516282,-1.65509008735257,-1.98646614502096,-2.15772805613554,-2.02741227424665,-2.1689972181669,-1.8608793992466,-2.31567294079922,-2.3317292313267,-2.41553280968796,-2.51272060511981,-2.62308947000541,-3.08817043139828,-3.13258181761739,-3.70545851098451,-3.8852574798639,-3.69238471548819,-2.64188092005315,-2.34719368164192,-2.56351422121909,-3.7588257344177,-3.79666479634666,-3.44198831761745,-2.99036761075359,-2.77232762889959,1
-2.08609150255168,-2.21627380241117,-2.30541525585093,-2.31224233870452,-2.35280024315549,-1.66380421779462,-1.76696342527918,-2.04559154636838,-2.03938449258697,-2.19777059911679,-1.9721532434901,-2.25907402414014,-2.67890243561518,-2.66493283140858,-2.80250825208096,-2.70511184115664,-3.03660185954542,-3.27595175216492,-3.75380700294075,-3.84699427932402,-3.8529857264961,-2.70299135046065,-2.48567852029065,-2.56117263081216,-3.76515724889808,-4.03039156245036,-3.60997514633091,-3.06886746780849,-2.87503577279721,1
-2.0961819219109,-2.01549266841376,-2.18348392343219,-2.31088368867724,-2.28440241912896,-1.90398620726852,-1.98067114816069,-2.12334375355664,-2.15305703758897,-2.20848606721166,-1.90970717743113,-2.30210217291424,-2.71227555730095,-2.6060140367148,-2.8254196164506,-2.70580311226273,-3.12303691185969,-3.36091566775426,-3.95601049957059,-4.16426714834213,-3.90620748131931,-2.86397048513252,-2.71310354179113,-2.96374170600195,-3.77537950516723,-4.15427931724307,-4.00783348141146,-3.10573401603432,-2.82689654143867,1
-2.00242629854491,-1.98976437087672,-2.16600348206523,-2.21892279525803,-2.2287798340938,-1.77270175648196,-1.75676990994891,-2.111551298753,-2.0868321952782,-2.15819361154349,-1.87466030332007,-2.10678943244548,-2.57944742838518,-2.49643045955798,-2.68979099335934,-2.40374722200194,-2.89942969270391,-3.09237074560064,-4.1344903810308,-4.0512931526892,-3.49771455590989,-2.94274520043952,-2.47297747057931,-2.88663045489031,-3.34552142664998,-3.38230260309629,-3.81018414198059,-3.21720916194881,-2.8260691082355,0
-1.93170674538154,-2.17547922604061,-2.32756745061192,-2.35059583527437,-2.44574349121267,-1.77394499794425,-1.90193481178964,-2.00980931781118,-1.83031065904969,-1.98892680845418,-2.00112619356782,-2.13474401296816,-2.69566024061016,-2.70453350569621,-3.01981914967628,-2.63046142446232,-2.75223317254634,-3.03519887254206,-4.25291352993894,-4.21185046417463,-4.11140826636916,-3.65991796780414,-2.672209796646,-3.14619822502522,-3.74558969748343,-3.48044382008718,-3.6616933608058,-3.58421428624015,-2.89745660607773,0
-2.04129303731129,-2.15437783903292,-2.32301654359527,-2.40561193397945,-2.49409817331596,-1.64663256060546,-1.90186392664385,-2.06977590103,-2.03843209122073,-2.08528426456911,-2.02771417355957,-2.01949596883343,-2.66419271854674,-2.43754661805161,-2.85589951945056,-2.31406746217662,-2.49976767134823,-2.93756639750642,-4.06658489012087,-4.06757303152324,-3.46600511631907,-3.40134738068795,-2.5623531112775,-2.09542487153015,-3.59108822313263,-3.52599218767363,-3.6216760489581,-3.21602899436304,-2.79849021500215,1
-2.05321481905146,-2.24305975500251,-2.34945099065621,-2.39474686293009,-2.61132185608649,-1.68758552344771,-1.88706059022896,-2.03993283969472,-1.8985706050852,-2.09130529246459,-1.92517013590531,-2.0875526280033,-2.30291321273941,-2.37935593385843,-2.46159463045285,-2.64942009115151,-3.07354427262289,-3.16936185417711,-3.85967768070438,-3.9094624343473,-3.64166989147913,-2.85432010490021,-2.38417977944892,-2.47041054807966,-3.76159927445493,-4.19603130418473,-3.74546044421937,-3.09657332945885,-2.88234664447131,1
-1.96977112243349,-1.99325029367313,-2.20631620870182,-2.33524994929069,-2.35402360271457,-1.65599332127213,-1.68130295533895,-2.01715176631251,-2.09204583899476,-2.12555476830359,-2.07958489733425,-2.18384776910545,-2.67893231247261,-2.48786905525653,-2.71993146453451,-2.25997369040948,-2.78698953256356,-3.08340102657595,-3.98605272894288,-3.86908979510404,-3.6210370420037,-2.74221263340315,-2.36664667107068,-2.2097265182126,-3.78130322407633,-3.85355373971497,-3.21951688168863,-2.93171103723384,-2.68597886071131,1
-1.96325020144371,-2.04607664068886,-2.2549790794492,-2.34989227945393,-2.36869575969003,-1.55693733995324,-1.76353484285488,-2.09423857580572,-2.02887652655821,-2.11085949425393,-1.85227924846714,-1.96709802183719,-2.37269149594457,-2.45251250769156,-2.72188184060126,-2.30472807584272,-2.71503434726974,-3.0687089114934,-3.82505490271614,-3.80675490625729,-3.83779130613688,-2.83745838578188,-2.54371032711055,-2.51858589735004,-4.08698384664279,-4.2515898951375,-3.40251891042861,-2.94013417007662,-2.64763720045914,1
-1.97461632402415,-2.11566000250812,-2.19872884097544,-2.24728119016372,-2.41794043745657,-1.74010632752247,-1.94499452382209,-2.03663181610082,-2.02912865940183,-2.08805244809481,-1.95158183913134,-2.14127448983438,-2.6027080593881,-2.50769053087297,-2.8327641313297,-2.3943271212006,-2.52279458721939,-2.9593014061872,-4.11205347940865,-4.10839382549244,-3.7072428678565,-3.41908755895482,-2.54149896918809,-2.77766954059312,-3.45957153938742,-3.56023006591573,-3.78567472944424,-3.30560465464774,-2.83385617730645,0
-2.05563434773795,-2.07462495571956,-2.28437428305967,-2.34925450813734,-2.3414926364592,-1.76287561919678,-1.71280505962362,-2.11303025732821,-2.1168725075842,-2.12698494505028,-2.10745238131217,-2.2529126145959,-2.81323286088192,-2.59956896434329,-3.02657684309902,-2.41571675891583,-2.66865645008292,-2.94535826762856,-4.18241902184409,-4.08866080847957,-3.79069967956636,-3.80876149707194,-2.73787130749885,-3.48860704379394,-4.07449411390874,-3.584168812947,-3.63851886076686,-3.41507135750804,-2.84481582481876,0
-1.98394852870979,-2.25012135050194,-2.32342229030637,-2.40575309795862,-2.5124567403147,-1.76726228232253,-1.93077617363137,-2.10960387443731,-2.04258297772405,-2.05005289336817,-1.92641709002068,-2.47143525923846,-2.69919012695616,-2.63639504636025,-2.68368135457684,-2.85205621410557,-3.06679141897154,-3.37732107137098,-3.74738163132202,-4.03890665908303,-3.94989048630322,-2.71689375385499,-2.39908911699318,-2.6414228271759,-3.46958981972748,-3.75725887789708,-3.60897045190424,-3.2580250230619,-2.8894952320509,1
-2.13262792133851,-2.11704937187198,-2.25704382363536,-2.27497573606447,-2.39775871521703,-1.7539533604906,-1.95389956396428,-2.1238067399839,-2.03761239372459,-2.11248568232734,-1.86622538427929,-1.93821873168482,-2.60971237302514,-2.47164884741104,-2.73617169849621,-2.12922872856433,-2.54451060525241,-2.96688427250936,-4.08801407549639,-4.05941436659148,-3.36212300110979,-3.19619337492495,-2.60331766459777,-2.55613554445623,-3.74732420936956,-3.52466484216676,-3.71431220643112,-3.11049830027796,-2.77644160344791,1
-2.13961023646657,-2.30292759789219,-2.41044883561909,-2.41365156398325,-2.45766525896734,-1.78945997543795,-1.8987075063696,-2.09404625789063,-1.94694901366118,-2.06253152366704,-2.09374104144722,-2.27218347116143,-2.47248361712434,-2.69849556663055,-2.86841139080048,-2.34713530603583,-2.89048912657108,-3.05658144998346,-4.18028953169195,-4.17813593997574,-3.98009661614275,-3.05326387707672,-2.43473829183488,-3.01470700646406,-3.58095284519599,-3.62094454348115,-3.69867578236865,-3.44253635658008,-2.91698028362109,0
-2.04769592475862,-2.1697371208923,-2.26769210553749,-2.28633774053805,-2.41315547171832,-1.75092112343691,-2.00233480941453,-2.13716178993096,-2.05861875428699,-2.10877999583961,-1.98184645739319,-2.54501428086696,-2.76347452194806,-2.71443015567683,-2.61194020732163,-2.91543177533898,-3.12203719828624,-3.67400453409105,-3.31888277327225,-3.91633541908608,-3.71377929761587,-2.77380863679957,-2.49575319036432,-2.45257620473226,-3.39382532326659,-3.81149109444896,-3.31899938503933,-2.77543831471214,-3.04482222490178,1
-2.14273007287346,-2.06536901208997,-2.19606132364033,-2.2824341464712,-2.33453778822923,-1.89030648536301,-2.04971252281736,-2.22398937200528,-2.21860299720113,-2.30091002853941,-2.14974081395467,-2.22366456380331,-2.60459572602079,-2.57224426326324,-2.86306230454418,-2.32920133624657,-2.74619930538679,-3.19121846862643,-3.98042613565023,-3.96254581045559,-4.10645423835142,-2.85024249735629,-2.61979073212294,-2.70781941910052,-3.67439389799833,-4.03467498260971,-3.52578085074386,-3.19760572067414,-2.83355950186834,1
-2.01490135717634,-2.18889603457525,-2.35305304623499,-2.32715421969407,-2.3884594885587,-1.75131202287582,-1.72403958905388,-2.12997775021325,-2.04586485411903,-2.15523866066982,-2.12727102083916,-2.18516144291808,-2.67337313989603,-2.52943034730448,-2.86450647165442,-2.13717916111986,-2.48898536166028,-2.82861089433361,-4.02114565069053,-3.96866328313393,-3.91460377171696,-3.00199074687877,-2.57517885360826,-2.81365196904931,-3.31606263328687,-3.45546918087146,-3.28766447181798,-3.30596001744982,-2.77594774016954,0
